Cột 1,Cột 2,Cột 3,Cột 4,Cột 5,Cột 6,Cột 7,Cột 8,Cột 9,Cột 10,Cột 11,Cột 12,Cột 13,Cột 14,Cột 15,Cột 16,Cột 17,Cột 18,Cột 19,Cột 20,Cột 21,Cột 22,Cột 23,Cột 24,Cột 25,Cột 26,Cột 27,Cột 28,Cột 29,Cột 30,Cột 31,Cột 32
Có,Nam,18-25,Bán hàng và Tiếp thị,Trên 10 năm,Hàng tháng,2,1,4,4,3,3,2,3,5,5,1,4,1,4,4,1,2,3,3,4,4,4,1,3,3,5
Có,Nam,Từ 45 trở lên,Bán hàng và Tiếp thị,Dưới 1 năm,Hàng ngày,4,2,2,4,4,2,1,3,5,2,3,3,5,4,5,3,1,3,5,1,1,3,3,4,4,5
Không,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Có,Nam,26-35,Tài chính,5-10 năm,Hàng ngày,3,5,4,1,1,2,4,2,5,3,1,2,2,3,4,5,1,1,1,3,4,2,5,2,3,4
Không,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Có,Nam,18-25,Bán hàng và Tiếp thị,1-5 năm,Hàng ngày,2,3,5,2,3,3,4,1,1,4,5,5,2,1,5,3,2,1,3,5,2,4,4,2,5,3
Không,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Không,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Có,Nữ,Từ 45 trở lên,Bán hàng và Tiếp thị,5-10 năm,Hàng ngày,4,4,1,2,2,4,5,5,4,1,1,3,4,3,1,1,3,2,1,3,2,2,2,1,5,4
Có,Nam,26-35,Nghiên cứu và Phát triển,Dưới 1 năm,Hàng ngày,3,5,4,3,3,2,1,5,3,4,3,1,3,4,1,5,4,4,4,1,5,1,2,1,5,1
Có,Nam,26-35,Sản xuất,1-5 năm,Hàng tuần,1,4,2,1,2,1,3,1,4,3,2,5,2,4,2,1,1,3,4,3,1,2,5,2,1,5
Có,Nữ,18-25,Nghiên cứu và Phát triển,5-10 năm,Hàng tuần,5,2,3,2,3,1,2,5,1,2,4,3,5,1,4,3,1,2,2,1,4,4,3,2,1,3
Có,Nam,26-35,Bán hàng và Tiếp thị,1-5 năm,Hàng tuần,1,1,5,1,4,1,4,5,5,1,4,4,1,1,1,2,2,4,1,3,2,5,1,4,2,4
Có,Nam,36-45,Nhân sự,Dưới 1 năm,Hàng tháng,5,2,3,3,5,2,1,4,1,1,2,4,5,2,4,4,4,2,2,2,3,4,3,3,5,2
Có,Nam,26-35,Nghiên cứu và Phát triển,1-5 năm,Hàng ngày,4,5,1,1,3,4,3,2,5,5,4,4,2,5,4,1,3,1,2,3,5,4,3,5,3,3
Có,Nữ,26-35,Bán hàng và Tiếp thị,Dưới 1 năm,Hàng ngày,1,3,2,5,4,2,4,3,2,4,2,5,4,2,2,3,5,4,1,3,4,5,5,1,1,1
Không,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Không,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
