Giới tính của bạn,Độ tuổi của bạn,Bạn đã làm việc tại công ty bao nhiêu năm,Bộ phận làm việc của bạn,Bạn tương tác với những loại ứng dụng AI nào trong công việc hàng ngày của mình,Hãy đánh giá hiệu quả của các công cụ AI như thế nào trong việc giúp bạn hoàn thành nhiệm vụ của mình,Các công cụ AI giúp bạn đạt được mục tiêu công việc theo những cách nào,Tăng hiệu quả công việc,Tiết kiệm thời gian,Giảm thiểu lỗi và cải thiện độ chính xác,Hỗ trợ đưa ra các quyết định nhanh chóng,Giao diện khó sử dụng,Khó tận dụng hết tính năng,Khó diễn giải kết quả,Phụ thuộc dữ liệu đầu vào,Thiếu sự linh hoạt,Khó khăn trong việc học sử dụng,Quyền riêng tư dữ liệu,Đạo đức hoặc tuân thủ quy định,Khả năng tối ưu công việc,Nhóm hoặc ban lãnh đạo của mình hỗ trợ bạn giải quyết các thách thức liên quan đến AI như thế nào,Bạn tin rằng hành động nào sẽ cải thiện hiệu quả nhất của các công cụ AI trong công việc của bạn
Nữ,18-34,1-3 năm,Nhân sự,Trò chuyện với chatbot và hỗ trợ khách hàng,Kém hiệu quả,Nâng cao hiệu quả trong giao tiếp với khách hàng,4,1,3,4,5,5,5,3,5,4,2,4,3,Không ủng hộ,Đầu tư vào các công cụ AI tốt hơn
Nữ,18-34,6-9 năm,Nhân sự,Khác,Hiệu quả,Cung cấp thông tin chi tiết dựa trên dữ liệu,2,5,4,2,3,3,5,5,3,4,2,3,4,Ủng hộ,Cải thiện chất lượng dữ liệu
Nam,18-34,3-6 năm,Marketing,Phân tích dự đoán,Trung bình,Nâng cao hiệu quả trong giao tiếp với khách hàng,4,3,5,3,1,2,2,3,4,5,4,3,3,Ủng hộ,Cải thiện chất lượng dữ liệu
Nam,18-34,3-6 năm,Nhân sự,Học máy để phân tích dữ liệu,Trung bình,Nâng cao hiệu quả trong giao tiếp với khách hàng,5,5,3,2,3,3,4,1,4,1,1,5,3,Ủng hộ,Tăng ngân sách bảo trì AI
Nữ,35-44,1-3 năm,Công nghệ thông tin,Phân tích dự đoán,Rất hiệu quả,Cung cấp thông tin chi tiết dựa trên dữ liệu,1,2,3,3,5,5,4,5,4,3,3,4,2,Ủng hộ,Cải thiện chất lượng dữ liệu
Nam,35-44,6-9 năm,Công nghệ thông tin,Tự động hóa quy trình (RPA),Hiệu quả,Cung cấp thông tin chi tiết dựa trên dữ liệu,1,1,3,3,3,3,4,5,3,4,4,2,4,Ủng hộ,Cải thiện chất lượng dữ liệu
Nam,35-44,6-9 năm,Khác,Học máy để phân tích dữ liệu,Trung bình,Cải thiện hiệu quả,2,2,2,5,1,3,1,1,4,4,5,2,5,Trung lập,Tăng ngân sách bảo trì AI
Nữ,18-34,1-3 năm,Tài chính,Tự động hóa quy trình (RPA),Trung bình,Giảm khối lượng công việc thủ công,5,4,2,5,2,3,5,4,5,1,4,2,2,Trung lập,Cung cấp đào tạo bổ sung
Nam,18-34,hơn 9 năm,Marketing,Tự động hóa quy trình (RPA),Trung bình,Nâng cao hiệu quả trong giao tiếp với khách hàng,5,5,2,2,5,2,5,3,3,1,4,4,3,Trung lập,Đầu tư vào các công cụ AI tốt hơn
Nữ,45 tuổi trở lên,1-3 năm,Khác,Phân tích dự đoán,Trung bình,Giảm khối lượng công việc thủ công,5,2,1,2,4,5,3,2,3,2,2,2,2,Không ủng hộ,Cải thiện chất lượng dữ liệu
